indelsubtype	1,2-DMH (11.6 mM) + S9	Cisplatin (12.5 uM)	BaP (2 uM) + S9	BPDE (0.125 uM)	DBADE (0.109 uM)	DBADE (0.0313 uM)	1,8-DNP (0.125 uM)	1,8-DNP (8 uM)	3-NBA (0.1 uM)	6-Nitrochrysene (50 uM) + S9	Control
[->1]Others	0	0.0656357388316151	0.0504854368932039	0	0	0	0	0.0178098322048867	0	0	0.164739884393064
[->1]Rep	0	0	0.0333333333333333	0.00926796507723304	0.0148201438848921	0.0456802383316783	0.312304250559284	0.241831027377097	0.238156209987196	0.085868830290737	0.0520231213872832
[-C]A	0	0	0.0346278317152104	0.0212894560107455	0.0707913669064748	0.0933465739821251	0.0948545861297539	0.0157491904621725	0.0456679470763978	0	0.069364161849711
[-C]C	0.0796703296703297	0.0539518900343643	0.175404530744337	0.231497649429147	0.13841726618705	0.0867262495862297	0.132885906040268	0.084927877539005	0.0819462227912932	0.0628803245436105	0.0317919075144509
[-C]CC	0	0	0.25663430420712	0.276561450638012	0.134244604316547	0.0887123469049983	0	0.0394465705033853	0.114383269312847	0.041920216362407	0.0173410404624277
[-C]G	0	0	0.0103559870550162	0.00449966420416387	0.0499280575539568	0.0221780867262496	0	0.00471003826906094	0.0136577037985489	0	0.0115606936416185
[-C]LongRep	0.0531135531135531	0	0.120711974110032	0.112021490933512	0.0687769784172662	0.0771267792121814	0.276510067114094	0.379452458051222	0.353393085787452	0.13657876943881	0.00289017341040462
[-C]T	0.662087912087912	0.0560137457044674	0.0300970873786408	0.0532572196104768	0.0687769784172662	0.1582257530619	0.0416107382550336	0.0188401530762437	0.0247545881348698	0	0.0115606936416185
[-T]A	0	0	0.0423948220064725	0.0793149764942915	0.0188489208633094	0	0	0	0	0.18526031102096	0.0115606936416185
[-T]C	0	0.034020618556701	0	0	0	0	0	0	0	0	0.00867052023121387
[-T]G	0.0586080586080586	0	0	0.00429818670248489	0	0	0	0.00942007653812187	0	0.0209601081812035	0.00578034682080925
[-T]LongRep	0	0	0.054368932038835	0.0794492948287441	0	0	0	0.0298793052693553	0	0.0993914807302231	0.00578034682080925
[-T]T	0.0558608058608058	0	0.0423948220064725	0.0534586971121558	0.0138129496402878	0.020191989407481	0.0899328859060403	0.0759493670886076	0	0	0.141618497109827
[-T]TT	0	0	0	0.0111484217595702	0	0	0	0.00897851045039741	0	0.0669371196754564	0.00867052023121387
[+>1]NonRep	0	0	0	0	0.0153956834532374	0	0	0	0	0.0561189993238675	0.00867052023121387
[+>1]Rep	0	0	0	0	0	0	0	0	0	0	0.0317919075144509
[+C]A	0.0293040293040293	0	0	0	0	0	0.0143176733780761	0	0.0136577037985489	0	0.144508670520231
[+C]C	0	0	0.0113268608414239	0.00235057085292142	0.0402877697841727	0.0115855676928169	0	0.0051516043567854	0.0149381135296628	0	0.00289017341040462
[+C]CC	0	0	0.0103559870550162	0	0.00964028776978417	0	0.0143176733780761	0	0	0.0459770114942529	0
[+C]G	0	0	0	0	0.00503597122302158	0	0	0	0	0	0.00289017341040462
[+C]LongRep	0	0	0.0281553398058252	0.00349227669576897	0.0125179856115108	0.0635551142005958	0.0232662192393736	0.00765381218722402	0	0.110209601081812	0
[+C]T	0.0613553113553113	0	0	0	0	0	0	0.00471003826906094	0	0	0.0173410404624277
[+T]A	0	0.0120274914089347	0	0	0.0100719424460432	0	0	0	0.0149381135296628	0.0236646382691007	0.00289017341040462
[+T]C	0	0.0481099656357388	0	0	0.0100719424460432	0	0	0	0.0149381135296628	0	0
[+T]G	0	0	0	0	0.0151079136690647	0.0231711353856339	0	0.0103032087135708	0.0448143405889885	0	0
[+T]LongRep	0	0.294501718213058	0	0.0246474143720618	0.0729496402877698	0.0867262495862297	0	0	0	0	0
[+T]T	0	0.308591065292096	0.0300970873786408	0.0226997985224983	0.204748201438849	0.192982456140351	0	0.0136885487194583	0.0247545881348698	0	0.219653179190751
[+T]TT	0	0.127147766323024	0	0.0107454667562122	0	0.0297914597815293	0	0	0	0.0642325895875592	0.0115606936416185
[->1]Mh	0	0	0.0692556634304207	0	0.0257553956834532	0	0	0.031498380924345	0	0	0.0144508670520231
