indelsubtype	indeltype	exposure	percentage
[->1]Others	[->1]	0	0
[->1]Rep	[->1]	1.64761904761905	0.103160405485987
[-C]A	[-C]	1.35238095238095	0.0846750149075731
[-C]C	[-C]	1.82857142857143	0.114490161001789
[-C]CC	[-C]	2.21904761904762	0.138938580799046
[-C]G	[-C]	0.304761904761905	0.0190816935002982
[-C]LongRep	[-C]	1.55238095238095	0.0971973762671437
[-C]T	[-C]	0.885714285714286	0.0554561717352415
[-T]A	[-T]	0.580952380952381	0.0363744782349433
[-T]C	[-T]	0	0
[-T]G	[-T]	0	0
[-T]LongRep	[-T]	0	0
[-T]T	[-T]	0.914285714285714	0.0572450805008945
[-T]TT	[-T]	0	0
[+>1]NonRep	[+>1]	0	0
[+>1]Rep	[+>1]	0	0
[+C]A	[+C]	0.638095238095238	0.0399522957662493
[+C]C	[+C]	0.333333333333333	0.0208706022659511
[+C]CC	[+C]	0.304761904761905	0.0190816935002982
[+C]G	[+C]	0	0
[+C]LongRep	[+C]	0	0
[+C]T	[+C]	0	0
[+T]A	[+T]	0	0
[+T]C	[+T]	0.333333333333333	0.0208706022659511
[+T]G	[+T]	0	0
[+T]LongRep	[+T]	0	0
[+T]T	[+T]	2.21904761904762	0.138938580799046
[+T]TT	[+T]	0.857142857142857	0.0536672629695886
[->1]Mh	Mh	0	0
