indelsubtype	indeltype	exposure	percentage
[->1]Others	[->1]	0	0
[->1]Rep	[->1]	1.31428571428571	0.0456802383316783
[-C]A	[-C]	2.68571428571429	0.0933465739821251
[-C]C	[-C]	2.4952380952381	0.0867262495862297
[-C]CC	[-C]	2.55238095238095	0.0887123469049983
[-C]G	[-C]	0.638095238095238	0.0221780867262496
[-C]LongRep	[-C]	2.21904761904762	0.0771267792121814
[-C]T	[-C]	4.55238095238095	0.1582257530619
[-T]A	[-T]	0	0
[-T]C	[-T]	0	0
[-T]G	[-T]	0	0
[-T]LongRep	[-T]	0	0
[-T]T	[-T]	0.580952380952381	0.020191989407481
[-T]TT	[-T]	0	0
[+>1]NonRep	[+>1]	0	0
[+>1]Rep	[+>1]	0	0
[+C]A	[+C]	0	0
[+C]C	[+C]	0.333333333333333	0.0115855676928169
[+C]CC	[+C]	0	0
[+C]G	[+C]	0	0
[+C]LongRep	[+C]	1.82857142857143	0.0635551142005958
[+C]T	[+C]	0	0
[+T]A	[+T]	0	0
[+T]C	[+T]	0	0
[+T]G	[+T]	0.666666666666667	0.0231711353856339
[+T]LongRep	[+T]	2.4952380952381	0.0867262495862297
[+T]T	[+T]	5.55238095238095	0.192982456140351
[+T]TT	[+T]	0.857142857142857	0.0297914597815293
[->1]Mh	Mh	0	0
